0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.000108175,0.017840156,0.045602947,-0.038464567,0.000318283,0.007316198,0.024703243,0.071919016,-0.052037835,0.000663777,0.005093519,0.021206172,0.048545799,-0.034346191,0.000475646,-0.011982427,0.101815809,0.292955411,-0.318670601,0.010510037,0.013777691,0.131690022,0.443115736,-0.293360935,0.017532087,0.012021786,0.139986367,0.58710614,-0.254924609,0.019740706,0.246314414,0.417235155,-0.034328748,-0.579674666,-0.006417159,-0.453051775,0
-0.000483141,0.01202208,0.045602947,-0.032328618,0.000144764,-0.000659975,0.02835366,0.071919016,-0.042498967,0.000804366,-0.000364474,0.020190682,0.048545799,-0.031541543,0.000407796,0.01364598,0.067057465,0.165315889,-0.170390052,0.004682916,-0.029328371,0.09672489,0.443115736,-0.293360935,0.010215858,0.046005932,0.115573915,0.58710614,-0.080371113,0.015473876,0.23081151,0.62996161,-0.03016004,-0.357958633,-0.247244059,-0.387088065,0
-0.001161101,0.005746093,0.010034376,-0.016300467,3.44E-05,-0.007732405,0.016721181,0.015496759,-0.042498967,0.000339388,-0.004165223,0.010236374,0.020331963,-0.029050792,0.000122132,0.020892292,0.030395011,0.124085125,-0.072468493,0.001360345,-0.016538516,0.020276123,0.027911819,-0.061599911,0.000684644,0.008648012,0.017643273,0.064520473,-0.022617663,0.000386073,0.561435253,0.642919404,0.284898148,-0.381324514,0.313791879,-0.37987887,0
0.0010802,0.005441621,0.015261335,-0.020575784,3.08E-05,0.004216386,0.004401596,0.015496759,-0.004600398,3.72E-05,0.001050074,0.006979878,0.023171194,-0.013289787,4.98E-05,0.010100587,0.023425284,0.078047844,-0.048472522,0.000650766,-0.004650937,0.024389387,0.049451963,-0.06578636,0.000616473,0.005971348,0.017245884,0.046869327,-0.028016874,0.000333078,0.349755167,-0.074225393,-0.170011468,-0.288694352,0.292822948,-0.046520367,0
9.66E-06,0.005011664,0.015261335,-0.020575784,2.51E-05,0.000224025,0.003812934,0.012966849,-0.009045256,1.46E-05,0.000925207,0.007139207,0.023171194,-0.017058891,5.18E-05,0.01004064,0.023361996,0.078047844,-0.048472522,0.000646597,-0.004684392,0.024179423,0.049451963,-0.06578636,0.000606588,0.005414928,0.015179628,0.039904201,-0.028016874,0.000259743,0.320900286,-0.326044107,-0.220036231,-0.364384436,0.251301178,0.044413092,0
-0.000337497,0.003602668,0.008936544,-0.009864896,1.31E-05,-0.000471287,0.003391732,0.007527737,-0.009045256,1.17E-05,-0.000449457,0.006325003,0.018165234,-0.017058891,4.02E-05,0.007761008,0.019706715,0.05146058,-0.040806638,0.000448588,-0.000622014,0.020225905,0.041357625,-0.03812944,0.000409474,0.007312941,0.011532237,0.034072256,-0.022468776,0.000186472,0.479990073,-0.500522366,-0.134237164,-0.626506545,0.295812329,-0.037233855,0
3.94E-05,0.004060488,0.013168823,-0.009864896,1.65E-05,2.71E-05,0.003256997,0.007527737,-0.008401347,1.06E-05,0.000371716,0.006429572,0.020959277,-0.016288519,4.15E-05,0.007164983,0.016594045,0.043347802,-0.031784529,0.000326699,-0.002439781,0.019423574,0.041357625,-0.053904753,0.000383228,0.005401073,0.0123315,0.033116129,-0.027774586,0.000181237,0.447179197,-0.420470434,-0.061010758,-0.398273971,0.271415872,0.222496245,0
-4.37E-05,0.003862338,0.013168823,-0.008203146,1.49E-05,-9.11E-06,0.00275804,0.00694389,-0.008401347,7.61E-06,-0.000295198,0.005638377,0.020959277,-0.012006749,3.19E-05,0.003635261,0.015229777,0.032188679,-0.035262871,0.000245161,-0.00111597,0.017841655,0.04367671,-0.053904753,0.00031957,0.001293636,0.010646777,0.020919268,-0.027774586,0.000115027,0.453024893,-0.311887263,-0.041152527,-0.408047831,0.368205343,-0.011271911,0
0.017844328,0.233221167,0.290879805,-1.006266988,0.054710533,-0.009171604,0.102886527,0.435832534,-0.132776293,0.010669756,0.000983155,0.015904219,0.044516808,-0.055759945,0.000253911,0.009806883,0.096163418,0.284145067,-0.337111551,0.009343578,0.000885844,0.059879913,0.145916956,-0.163883128,0.003586389,0.00480994,0.044778443,0.136581145,-0.105466216,0.002028244,-0.992171375,-0.169342157,0.121519693,-0.703249363,0.310423295,-0.382495857,0
-0.019631324,0.075268204,0.1941344,-0.124779275,0.006050691,0.008860041,0.031259189,0.056128107,-0.079309163,0.001055637,0.000625374,0.01572229,0.044516808,-0.055759945,0.000247581,0.01189094,0.091415699,0.284145067,-0.337111551,0.008498224,-0.013301656,0.051952459,0.145916956,-0.136229459,0.002875992,0.004915174,0.045518921,0.136581145,-0.105466216,0.002096131,-0.91505454,-0.242828803,0.068719541,-0.7373126,0.257385171,-0.286059662,0
